name, hostname, number_of_stars (int), number_of_planets (int), orbital_period (_days), orbit_semimajor_axis (_au),radius_vs_Earth (float),mass_vs_Earth (float),eccentricity (float), insolation_flux (float), equilibrium_temperature (_K),distance (_pc)
11 Com b,11 Com,2,1,323.21000000000,1.1780000000,,,0.238000,,,93.18460000
11 Com b,11 Com,2,1,326.03000000000,1.2900000000,,,0.231000,,,93.18460000
11 Com b,11 Com,2,1,,1.2100000000,,,,,,93.18460000
11 UMi b,11 UMi,1,1,516.22000000000,1.5400000000,,,0.080000,,,125.32100000
11 UMi b,11 UMi,1,1,516.21997000000,1.5300000000,,,0.080000,,,125.32100000
11 UMi b,11 UMi,1,1,,1.5100000000,,,,,,125.32100000
14 And b,14 And,1,1,,0.6800000000,,,,,,75.43920000
14 And b,14 And,1,1,186.76000000000,0.7750000000,,,0.000000,,,75.43920000
14 And b,14 And,1,1,185.84000000000,0.8300000000,,,0.000000,,,75.43920000
14 Her b,14 Her,1,2,1765.03890000000,2.7740000000,,2559.47216157,0.373000,,,17.93230000
14 Her b,14 Her,1,2,,2.7300000000,,,0.357000,,,17.93230000
14 Her b,14 Her,1,2,1724.00000000000,2.8200000000,,,0.370000,,,17.93230000
14 Her b,14 Her,1,2,1796.40000000000,2.8000000000,,,0.338000,,,17.93230000
14 Her b,14 Her,1,2,1766.00000000000,2.8640000000,,,0.359000,,,17.93230000
14 Her b,14 Her,1,2,1773.40002000000,2.9300000000,,,0.370000,,,17.93230000
14 Her b,14 Her,1,2,1773.40000000000,2.7700000000,,,0.369000,,,17.93230000
14 Her b,14 Her,1,2,1766.41000000000,2.8300000000,,,0.367400,,,17.93230000
16 Cyg B b,16 Cyg B,3,1,798.50000000000,1.6600000000,,,0.680000,,,21.13970000
16 Cyg B b,16 Cyg B,3,1,798.50000000000,1.6810000000,,,0.681000,,,21.13970000
16 Cyg B b,16 Cyg B,3,1,799.50000000000,1.6800000000,,,0.689000,,,21.13970000
16 Cyg B b,16 Cyg B,3,1,800.80000000000,1.6000000000,,,0.634000,,,21.13970000
16 Cyg B b,16 Cyg B,3,1,799.45000000000,1.6760000000,,,0.683200,,,21.13970000
16 Cyg B b,16 Cyg B,3,1,799.50000000000,1.6800000000,,,0.689000,,,21.13970000
17 Sco b,17 Sco,1,1,578.38000000000,1.4500000000,,,0.060000,,,124.95300000
18 Del b,18 Del,2,1,,2.5400000000,,,,,,76.22200000
18 Del b,18 Del,2,1,982.85000000000,2.4760000000,,,0.024000,,,76.22200000
18 Del b,18 Del,2,1,993.30000000000,2.6000000000,,,0.080000,,,76.22200000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.0000000000,,3000.00000000,,,1800.00,139.13500000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.0000000000,,4000.00000000,,,1700.00,139.13500000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.0000000000,18.64700000,2543.00000000,,,1800.00,139.13500000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.0000000000,,3000.00000000,,,1700.00,139.13500000
24 Boo b,24 Boo,1,1,30.35060000000,0.1900000000,,,0.042000,,,95.98630000
24 Boo b,24 Boo,1,1,30.33000000000,0.1940000000,,,0.032000,,,95.98630000
24 Sex b,24 Sex,1,2,452.80000000000,1.3330000000,,,0.090000,,,72.06910000
24 Sex c,24 Sex,1,2,883.00000000000,2.0800000000,,,0.290000,,,72.06910000
2M0437 b,2MASS J04372171+2651014,1,1,,118.0000000000,,1271.31362800,,,1450.00,128.48400000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,84.0000000000,,4131.79000000,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,,11.20900000,,,,1600.00,33.82810000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,52.0000000000,,7786.50000000,,,,33.82810000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,156.0000000000,16.14096000,4417.83700000,,,,
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,,1950.0000000000,,3686.80952120,,,,66.06130000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,,572.0000000000,,5720.91132600,,,2369.00,117.43500000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,15.0000000000,,2383.60000000,,,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,,266.0000000000,,8899.19539600,,,2677.00,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,,587.0000000000,,6356.56814000,,,2506.00,100.86200000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,55.0000000000,,1589.15000000,,,1250.00,64.30800000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,46.0000000000,,1271.00000000,,,1150.00,64.30800000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,416.00000000000,0.9200000000,,603.87700000,,,,396.33200000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,406.00000000000,,,,0.330000,,,396.33200000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,,7493.0000000000,,3813.94088400,,,1616.00,34.11540000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,230.0000000000,,3972.87500000,,,,69.57370000
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,,518.0000000000,,9534.85221000,,,1600.00,57.23090000
4 UMa b,4 UMa,1,1,270.27000000000,0.8770000000,,,0.453000,,,73.46030000
4 UMa b,4 UMa,1,1,269.30000000000,0.8700000000,,,0.432000,,,73.46030000
47 UMa b,47 UMa,1,3,1076.60000000000,2.0590000000,,,0.016000,,,13.79670000
47 UMa b,47 UMa,1,3,1078.00000000000,2.1000000000,,,0.032000,,,13.79670000
47 UMa b,47 UMa,1,3,1083.20000000000,2.1100000000,,,0.049000,,,13.79670000
47 UMa b,47 UMa,1,3,1076.60000000000,2.1000000000,,,0.012000,,,13.79670000
47 UMa b,47 UMa,1,3,1100.80000000000,2.1100000000,,,0.097000,,,13.79670000
47 UMa c,47 UMa,1,3,2391.00000000000,3.6000000000,,,0.098000,,,13.79670000
47 UMa c,47 UMa,1,3,7586.00000000000,7.7300000000,,,0.005000,,,13.79670000
47 UMa c,47 UMa,1,3,2287.00000000000,3.4040000000,,,0.179000,,,13.79670000
47 UMa d,47 UMa,1,3,14002.00000000000,11.6000000000,,,0.160000,,,13.79670000
47 UMa d,47 UMa,1,3,19000.00000000000,13.8000000000,,,0.380000,,,13.79670000
51 Eri b,51 Eri,3,1,,13.2000000000,,635.66000000,,,700.00,29.75750000
51 Eri b,51 Eri,3,1,9100.00000000000,10.4000000000,,3464.32963630,0.570000,,,29.75750000
51 Eri b,51 Eri,3,1,11688.00000000000,12.0000000000,,,0.450000,,,29.75750000
51 Eri b,51 Eri,3,1,14965.00000000000,14.0000000000,,,0.210000,,,29.75750000
51 Peg b,51 Peg,1,1,4.23079690000,0.0523500000,,,0.004200,,,15.46140000
51 Peg b,51 Peg,1,1,4.23077000000,0.0520000000,,,0.000000,,,15.46140000
51 Peg b,51 Peg,1,1,4.23078500000,0.0527000000,,,0.013000,,,15.46140000
51 Peg b,51 Peg,1,1,4.22930000000,,,,0.000000,,,15.46140000
51 Peg b,51 Peg,1,1,4.23100000000,0.0520000000,,146.20180000,0.000000,,,15.46140000
55 Cnc B b,55 Cnc B,2,7,6.79940000000,0.0440000000,,,0.000000,,,12.47730000
